fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	max_bin	num_iterations	force_row_wise	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	min_gain_to_split	lambda_l1	lambda_l2	prob_corte	ganancia	iteracion
20220423 113735	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	31	69	TRUE	0,026531995	0,292772466	729	17	23,3831424	69,1012938	11,46137424	0,008541281	11346000	189
20220423 114012	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	31	17	TRUE	0,216873462	0,212965404	5845	1009	18,43161682	0,439093107	91,97851265	0,012671835	11285000	196
20220423 102227	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	31	76	TRUE	0,100941459	0,273413041	5670	209	0,094928687	75,96673662	43,78640462	0,012860109	11264000	58
20220423 101512	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	31	23	TRUE	0,172462604	0,218445887	3375	230	8,937453272	41,98968982	99,84753464	0,010848083	11240000	43
20220423 104135	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	31	29	TRUE	0,296853634	0,235091354	7191	741	0,037790833	69,78317899	99,72248681	0,015008678	11222000	80
20220423 101403	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	31	11	TRUE	0,190239495	0,357189134	2760	687	16,4998151	63,42760233	31,07477459	0,011288049	11190000	36
20220423 115814	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	31	39	TRUE	0,201525158	0,472663138	5719	1023	0,012001691	14,54401459	21,40999398	0,029917896	11188000	224
20220423 101424	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	31	23	TRUE	0,227914385	0,299718151	857	983	6,264669469	1,033992295	25,40716372	0,029249947	11142000	38
20220423 111929	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	31	180	TRUE	0,010483322	0,202126934	3678	928	38,74726355	65,51562304	11,99664843	0,010241086	11136000	145
20220423 113051	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	31	17	TRUE	0,106384607	0,961377754	7959	1024	41,07085241	0,09472638	1,392967683	0,013493219	11118000	171
20220423 114940	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	31	20	TRUE	0,275303193	0,445432058	6218	16	15,82661256	0,530710456	71,87277523	0,019601534	11118000	207
20220423 115215	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	31	95	TRUE	0,011317105	0,236015273	2010	942	82,17522924	0,895847976	91,25309624	0,008392009	11066000	214
20220423 120042	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	31	17	TRUE	0,209568971	0,202059146	7990	1023	99,78262077	7,585752728	73,47186584	0,013047393	11066000	233
20220423 104621	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	31	261	TRUE	0,031869117	0,459344368	7215	873	0,0107473	0,162034694	11,03799161	0,032614919	11065000	87
