min_split	min_bucket	cp	max_depth	seg	ganancia_promedio
100	12	0.001	6	37.88	0
100	12	0.001	8	48.66	0
100	12	0.001	10	60.97	0
100	12	0.001	15	78.54	0
100	12	0.001	20	86.51	0
100	12	0.002	4	27.15	0
100	12	0.002	6	38.46	0
100	12	0.002	8	48.65	0
100	12	0.002	10	57.77	0
100	12	0.002	15	70.24	0
100	12	0.002	20	77.06	0
100	12	0.003	4	26.67	0
100	12	0.003	6	39.12	0
100	12	0.003	8	47.65	0
100	12	0.003	10	54.38	0
100	12	0.003	15	63.66	0
100	12	0.003	20	69.19	0
100	12	0.004	4	27.29	0
100	12	0.004	6	38.32	0
100	12	0.004	8	45.78	0
100	12	0.004	10	51.7	0
100	12	0.004	15	59.92	0
100	12	0.004	20	62.14	0
100	12	0.005	4	27.52	0
100	12	0.005	6	37.77	0
100	12	0.005	8	42.75	0
100	12	0.005	10	48.91	0
100	12	0.005	15	55.23	0
100	12	0.005	20	56.89	0
100	12	0.006	4	27.15	0
100	12	0.006	6	35.89	0
100	12	0.006	8	42.34	0
100	12	0.006	10	47.03	0
100	12	0.006	15	51.86	0
100	12	0.006	20	53.27	0
100	12	0.007	4	27.03	0
100	12	0.007	6	35.27	0
100	12	0.007	8	40.93	0
100	12	0.007	10	45.64	0
100	12	0.007	15	49.8	0
100	12	0.007	20	49.45	0
100	12	0.008	4	26.96	0
100	12	0.008	6	35.43	0
100	12	0.008	8	40.81	0
100	12	0.008	10	44.84	0
100	12	0.008	15	47.35	0
100	12	0.008	20	47.6	0
100	12	0.009	4	26.38	0
100	12	0.009	6	33.47	0
100	12	0.009	8	37.78	0
100	12	0.009	10	42.33	0
100	12	0.009	15	43.08	0
100	12	0.009	20	44.35	0
100	12	0.01	4	26.44	0
100	12	0.01	6	33.26	0
100	12	0.01	8	38.5	0
100	12	0.01	10	41.5	0
100	12	0.01	15	42.23	0
100	12	0.01	20	42.58	0
100	25	-1	4	27.32	9126000
100	25	-1	6	38.86	9820000
100	25	-1	8	50.81	8884667
100	25	-1	10	61.69	7027333
100	25	-1	15	80.6	4241333
100	25	-1	20	87.52	3594667
100	25	-0.75	4	28.24	9126000
100	25	-0.75	6	39.37	9820000
100	25	-0.75	8	51.36	8884667
100	25	-0.75	10	61.34	7027333
100	25	-0.75	15	80.28	4241333
100	25	-0.75	20	88.1	3594667
100	25	-0.5	4	28.22	9126000
100	25	-0.5	6	39.49	9820000
100	25	-0.5	8	51.35	8884667
100	25	-0.5	10	61.8	7027333
100	25	-0.5	15	79.62	4241333
100	25	-0.5	20	89	3594667
100	25	-0.25	4	28.02	9126000
100	25	-0.25	6	39.3	9820000
100	25	-0.25	8	50.88	8884667
100	25	-0.25	10	62.43	7027333
100	25	-0.25	15	80.43	4241333
100	25	-0.25	20	89.61	3594667
100	25	0	4	27.91	0
100	25	0	6	38.75	0
100	25	0	8	49.99	0
100	25	0	10	61.49	0
100	25	0	15	78.15	0
100	25	0	20	85.85	0
100	25	0.001	4	28.23	0
100	25	0.001	6	39.16	0
100	25	0.001	8	50.99	0
100	25	0.001	10	62.04	0
100	25	0.001	15	73.51	0
100	25	0.001	20	79.7	0
100	25	0.002	4	27.71	0
100	25	0.002	6	39.28	0
100	25	0.002	8	48.53	0
100	25	0.002	10	56.74	0
100	25	0.002	15	66.03	0
100	25	0.002	20	70.44	0
100	25	0.003	4	26.76	0
100	25	0.003	6	38.12	0
100	25	0.003	8	47.29	0
100	25	0.003	10	53.17	0
100	25	0.003	15	59.66	0
100	25	0.003	20	62.42	0
100	25	0.004	4	27.51	0
100	25	0.004	6	38.11	0
100	25	0.004	8	44.59	0
100	25	0.004	10	49.3	0
100	25	0.004	15	55.19	0
100	25	0.004	20	56.68	0
100	25	0.005	4	27.15	0
100	25	0.005	6	36.81	0
100	25	0.005	8	42.09	0
100	25	0.005	10	46.48	0
100	25	0.005	15	52.04	0
100	25	0.005	20	52.05	0
100	25	0.006	4	27.03	0
100	25	0.006	6	36.33	0
100	25	0.006	8	41.11	0
100	25	0.006	10	44.67	0
100	25	0.006	15	48.25	0
100	25	0.006	20	48.42	0
100	25	0.007	4	27.54	0
100	25	0.007	6	34.44	0
100	25	0.007	8	39.64	0
100	25	0.007	10	43.16	0
100	25	0.007	15	45.34	0
100	25	0.007	20	46.24	0
100	25	0.008	4	27.26	0
100	25	0.008	6	33.87	0
100	25	0.008	8	39.71	0
100	25	0.008	10	42.11	0
100	25	0.008	15	44.04	0
100	25	0.008	20	43.96	0
100	25	0.009	4	26.72	0
100	25	0.009	6	33.54	0
100	25	0.009	8	37.81	0
100	25	0.009	10	40.56	0
100	25	0.009	15	41.79	0
100	25	0.009	20	41.87	0
100	25	0.01	4	26.7	0
100	25	0.01	6	32.99	0
100	25	0.01	8	36.63	0
100	25	0.01	10	38.71	0
100	25	0.01	15	40	0
100	25	0.01	20	38.98	0
100	50	-1	4	27.35	9896667
100	50	-1	6	38.26	10190667
100	50	-1	8	50.57	8107333
100	50	-1	10	61.24	6301333
100	50	-1	15	77.82	3995333
100	50	-1	20	82.96	3476667
100	50	-0.75	4	27.3	9896667
100	50	-0.75	6	39.07	10190667
100	50	-0.75	8	50.01	8107333
100	50	-0.75	10	61.27	6301333
100	50	-0.75	15	77.45	3995333
100	50	-0.75	20	82.93	3476667
100	50	-0.5	4	27.72	9896667
100	50	-0.5	6	38.8	10190667
100	50	-0.5	8	51.83	8107333
100	50	-0.5	10	61.84	6301333
100	50	-0.5	15	78.7	3995333
100	50	-0.5	20	83.81	3476667
100	50	-0.25	4	27.75	9896667
100	50	-0.25	6	40.17	10190667
100	50	-0.25	8	51.01	8107333
