min_split	min_bucket	cp	max_depth	t0	t1	t_seg	ganancia_promedio
50	15	-1	4	00:17:18	00:18:46	87.8845870494843	9946666.66666667
900	10	-1	4	00:17:18	00:18:46	87.9545469284058	9993333.33333333
25	15	-1	4	00:17:18	00:18:46	87.9525451660156	9946666.66666667
250	15	-1	4	00:18:48	00:20:12	84.4235820770264	9946666.66666667
300	15	-1	4	00:18:48	00:20:13	85.1941299438477	9946666.66666667
150	15	-1	4	00:18:48	00:20:14	86.0006711483002	9946666.66666667
450	15	-1	4	00:18:48	00:20:14	86.7132580280304	9946666.66666667
100	15	-1	4	00:18:48	00:20:14	86.885162115097	9946666.66666667
400	15	-1	4	00:18:48	00:20:16	88.3862981796265	9946666.66666667
200	15	-1	4	00:18:48	00:20:16	88.3942909240723	9946666.66666667
350	15	-1	4	00:18:48	00:20:16	88.736093044281	9946666.66666667
500	15	-1	4	00:20:18	00:21:44	85.9117250442505	9946666.66666667
550	15	-1	4	00:20:18	00:21:45	87.3988680839539	9946666.66666667
800	15	-1	4	00:20:18	00:21:45	87.7766489982605	9956666.66666667
750	15	-1	4	00:20:18	00:21:46	88.2993521690369	9946666.66666667
650	15	-1	4	00:20:18	00:21:46	88.503231048584	9946666.66666667
700	15	-1	4	00:20:18	00:21:46	88.5612010955811	9946666.66666667
600	15	-1	4	00:20:18	00:21:46	88.6541469097137	9946666.66666667
850	15	-1	4	00:20:18	00:21:47	89.1228740215302	9956666.66666667
900	15	-1	4	00:21:48	00:23:18	89.6985449790955	9956666.66666667
950	15	-1	4	00:21:48	00:23:18	90.1652789115906	9956666.66666667
25	20	-1	4	00:21:48	00:23:19	90.4491169452667	10166666.6666667
1000	15	-1	4	00:21:48	00:23:19	90.5850410461426	9956666.66666667
150	20	-1	4	00:21:48	00:23:20	91.7453758716583	10166666.6666667
50	20	-1	4	00:21:48	00:23:20	91.7563660144806	10166666.6666667
100	20	-1	4	00:21:48	00:23:21	92.9866590499878	10166666.6666667
200	20	-1	4	00:21:48	00:23:22	94.0960221290588	10166666.6666667
400	20	-1	4	00:23:23	00:24:49	85.8917379379272	10166666.6666667
350	20	-1	4	00:23:23	00:24:49	86.2265419960022	10166666.6666667
600	20	-1	4	00:23:23	00:24:49	86.3244848251343	10166666.6666667
300	20	-1	4	00:23:23	00:24:49	86.3694610595703	10166666.6666667
250	20	-1	4	00:23:23	00:24:50	86.9701161384583	10166666.6666667
450	20	-1	4	00:23:23	00:24:50	87.0040969848633	10166666.6666667
500	20	-1	4	00:23:23	00:24:50	87.1669969558716	10166666.6666667
550	20	-1	4	00:23:23	00:24:50	87.323911190033	10166666.6666667
950	20	-1	4	00:24:52	00:26:16	83.9908270835876	10033333.3333333
1000	20	-1	4	00:24:52	00:26:17	85.4859669208527	10033333.3333333
800	20	-1	4	00:24:52	00:26:18	86.2865030765533	10033333.3333333
850	20	-1	4	00:24:52	00:26:18	86.3944411277771	10033333.3333333
900	20	-1	4	00:24:52	00:26:18	86.4823908805847	10033333.3333333
700	20	-1	4	00:24:52	00:26:18	86.6233129501343	10166666.6666667
750	20	-1	4	00:24:52	00:26:18	86.6802768707275	10166666.6666667
650	20	-1	4	00:24:52	00:26:19	87.0930421352386	10166666.6666667
25	30	-1	4	00:26:20	00:27:45	84.3116400241852	10166666.6666667
200	30	-1	4	00:26:20	00:27:46	85.4989538192749	10166666.6666667
300	30	-1	4	00:26:20	00:27:46	85.8157708644867	10166666.6666667
50	30	-1	4	00:26:20	00:27:46	86.0426440238953	10166666.6666667
250	30	-1	4	00:26:20	00:27:47	86.2865059375763	10166666.6666667
350	30	-1	4	00:26:20	00:27:47	86.5113718509674	10166666.6666667
100	30	-1	4	00:26:20	00:27:47	86.8871610164642	10166666.6666667
150	30	-1	4	00:26:20	00:27:47	86.9611170291901	10166666.6666667
500	30	-1	4	00:27:50	00:29:15	85.1011879444122	10166666.6666667
400	30	-1	4	00:27:50	00:29:15	85.4529869556427	10166666.6666667
450	30	-1	4	00:27:50	00:29:16	85.9916789531708	10166666.6666667
600	30	-1	4	00:27:50	00:29:16	86.6602940559387	10166666.6666667
550	30	-1	4	00:27:50	00:29:17	86.9311389923096	10166666.6666667
700	30	-1	4	00:27:50	00:29:17	87.0310771465302	10166666.6666667
650	30	-1	4	00:27:50	00:29:17	87.2229700088501	10166666.6666667
750	30	-1	4	00:27:50	00:29:17	87.2399580478668	10166666.6666667
25	50	-1	4	00:29:19	00:30:43	84.8903050422668	10096666.6666667
800	30	-1	4	00:29:19	00:30:45	86.035651922226	10033333.3333333
850	30	-1	4	00:29:19	00:30:45	86.6383039951324	10033333.3333333
900	30	-1	4	00:29:19	00:30:46	87.1100361347198	10033333.3333333
950	30	-1	4	00:29:19	00:30:46	87.3968729972839	10033333.3333333
50	50	-1	4	00:29:19	00:30:46	87.3828730583191	10096666.6666667
1000	30	-1	4	00:29:19	00:30:46	87.56077003479	10033333.3333333
100	50	-1	4	00:29:19	00:30:46	87.7207000255585	10096666.6666667
350	50	-1	4	00:30:48	00:32:12	84.5455100536346	10096666.6666667
400	50	-1	4	00:30:48	00:32:14	86.4034349918365	10096666.6666667
300	50	-1	4	00:30:48	00:32:15	86.6902740001678	10096666.6666667
500	50	-1	4	00:30:48	00:32:15	86.714262008667	10096666.6666667
450	50	-1	4	00:30:48	00:32:15	86.709263086319	10096666.6666667
250	50	-1	4	00:30:48	00:32:15	87.195986032486	10096666.6666667
200	50	-1	4	00:30:48	00:32:15	87.1929829120636	10096666.6666667
150	50	-1	4	00:30:48	00:32:15	87.2699389457703	10096666.6666667
750	50	-1	4	00:32:16	00:33:41	85.0282340049744	10096666.6666667
700	50	-1	4	00:32:16	00:33:42	85.340047121048	10096666.6666667
650	50	-1	4	00:32:16	00:33:42	85.5199460983276	10096666.6666667
800	50	-1	4	00:32:16	00:33:43	86.3914451599121	10033333.3333333
850	50	-1	4	00:32:16	00:33:43	86.7182550430298	10033333.3333333
550	50	-1	4	00:32:16	00:33:43	86.7292470932007	10096666.6666667
900	50	-1	4	00:32:16	00:33:43	87.0260758399963	10033333.3333333
600	50	-1	4	00:32:16	00:33:43	87.0850470066071	10096666.6666667
950	50	-1	4	00:33:45	00:35:10	84.6604421138763	10033333.3333333
100	75	-1	4	00:33:45	00:35:10	84.9332849979401	10096666.6666667
150	75	-1	4	00:33:45	00:35:11	86.177570104599	10096666.6666667
1000	50	-1	4	00:33:45	00:35:12	86.6203172206879	10033333.3333333
200	75	-1	4	00:33:45	00:35:12	86.7732248306274	10096666.6666667
250	75	-1	4	00:33:45	00:35:12	86.8541758060455	10096666.6666667
25	75	-1	4	00:33:45	00:35:12	86.9631159305573	10096666.6666667
50	75	-1	4	00:33:45	00:35:12	87.1100330352783	10096666.6666667
350	75	-1	4	00:35:14	00:36:38	84.0218081474304	10096666.6666667
300	75	-1	4	00:35:14	00:36:38	84.5674879550934	10096666.6666667
600	75	-1	4	00:35:14	00:36:39	85.0532081127167	10096666.6666667
400	75	-1	4	00:35:14	00:36:40	86.1295969486237	10096666.6666667
500	75	-1	4	00:35:14	00:36:40	86.4713962078094	10096666.6666667
650	75	-1	4	00:35:14	00:36:40	86.5193688869476	10096666.6666667
550	75	-1	4	00:35:14	00:36:40	86.7232530117035	10096666.6666667
450	75	-1	4	00:35:14	00:36:41	86.9591228961945	10096666.6666667
950	75	-1	4	00:36:42	00:38:05	82.8854610919952	10033333.3333333
900	75	-1	4	00:36:42	00:38:07	84.802356004715	10033333.3333333
850	75	-1	4	00:36:42	00:38:07	85.056214094162	10033333.3333333
700	75	-1	4	00:36:42	00:38:08	85.6638638973236	10096666.6666667
1000	75	-1	4	00:36:42	00:38:09	86.8381898403168	10033333.3333333
750	75	-1	4	00:36:42	00:38:09	86.9611170291901	10096666.6666667
800	75	-1	4	00:36:42	00:38:10	87.3139190673828	10033333.3333333
25	100	-1	4	00:36:42	00:38:10	87.643737077713	10096666.6666667
150	100	-1	4	00:38:11	00:39:36	84.8593249320984	10096666.6666667
200	100	-1	4	00:38:11	00:39:37	85.2321109771729	10096666.6666667
100	100	-1	4	00:38:11	00:39:37	85.4319980144501	10096666.6666667
50	100	-1	4	00:38:11	00:39:38	86.2275409698486	10096666.6666667
350	100	-1	4	00:38:11	00:39:38	86.4074370861053	10096666.6666667
400	100	-1	4	00:38:11	00:39:38	86.7982151508331	10096666.6666667
250	100	-1	4	00:38:11	00:39:38	86.8801651000977	10096666.6666667
300	100	-1	4	00:38:11	00:39:38	87.0210790634155	10096666.6666667
650	100	-1	4	00:39:40	00:41:05	85.1761438846588	10096666.6666667
800	100	-1	4	00:39:40	00:41:05	85.5049600601196	10033333.3333333
550	100	-1	4	00:39:40	00:41:06	85.6838550567627	10096666.6666667
600	100	-1	4	00:39:40	00:41:06	86.1196000576019	10096666.6666667
450	100	-1	4	00:39:40	00:41:06	86.138592004776	10096666.6666667
750	100	-1	4	00:39:40	00:41:06	86.5523519515991	10096666.6666667
700	100	-1	4	00:39:40	00:41:07	86.6592919826508	10096666.6666667
500	100	-1	4	00:39:40	00:41:07	86.6822760105133	10096666.6666667
