min_split	min_bucket	cp	max_depth	seg	ganancia_promedio
100	50	0.02	6	32.34	0
100	50	0.02	8	33.62	0
100	50	0.02	10	33.91	0
100	50	0.02	15	33.38	0
100	50	0.02	20	34.13	0
100	50	0.03	4	27.75	0
100	50	0.03	6	30.95	0
100	50	0.03	8	30.36	0
100	50	0.03	10	31.72	0
100	50	0.03	15	31.36	0
100	50	0.03	20	30.65	0
100	50	0.04	4	27.92	0
100	50	0.04	6	28.42	0
100	50	0.04	8	29.37	0
100	50	0.04	10	29.23	0
100	50	0.04	15	29.04	0
100	50	0.04	20	28.74	0
100	50	0.05	4	27.54	0
100	50	0.05	6	27.77	0
100	50	0.05	8	28.01	0
100	50	0.05	10	28.59	0
100	50	0.05	15	27.82	0
100	50	0.05	20	28.74	0
100	50	0.06	4	26.08	0
100	50	0.06	6	25.98	0
100	50	0.06	8	25.86	0
100	50	0.06	10	26.5	0
100	50	0.06	15	26	0
100	50	0.06	20	26.03	0
100	50	0.07	4	23.84	0
100	50	0.07	6	24.6	0
100	50	0.07	8	24.27	0
100	50	0.07	10	24.89	0
100	50	0.07	15	24.93	0
100	50	0.07	20	24.3	0
100	50	0.08	4	24.07	0
100	50	0.08	6	23.92	0
100	50	0.08	8	24.72	0
100	50	0.08	10	23.81	0
100	50	0.08	15	24.36	0
100	50	0.08	20	24.49	0
100	50	0.09	4	22.71	0
100	50	0.09	6	23	0
100	50	0.09	8	23.32	0
100	50	0.09	10	22.93	0
100	50	0.09	15	23.21	0
100	50	0.09	20	23.12	0
100	50	0.1	4	21.27	0
100	50	0.1	6	21.71	0
100	50	0.1	8	21.31	0
100	50	0.1	10	21.19	0
100	50	0.1	15	21.78	0
100	50	0.1	20	21.22	0
100	50	0.15	4	18.25	0
100	50	0.15	6	19.23	0
100	50	0.15	8	18.22	0
100	50	0.15	10	18.01	0
100	50	0.15	15	18.81	0
100	50	0.15	20	18.17	0
250	5	-1	4	28.66	9016000
250	5	-1	6	40.62	10059333
250	5	-1	8	51.23	10013333
250	5	-1	10	63.7	9583333
250	5	-1	15	87.73	7588000
250	5	-1	20	101.4	6312667
250	5	0	4	28.05	0
250	5	0	6	39.76	1282000
250	5	0	8	50.96	4539333
250	5	0	10	64.19	8186000
250	5	0	15	87.16	8188667
250	5	0	20	100.56	8188667
250	5	0.01	4	27.69	0
250	5	0.01	6	36.54	0
250	5	0.01	8	42.07	0
250	5	0.01	10	46	0
250	5	0.01	15	50.84	0
250	5	0.01	20	50.81	0
250	5	0.02	4	28.3	0
250	5	0.02	6	35.32	0
250	5	0.02	8	39.65	0
250	5	0.02	10	40.08	0
